_H:	|batch	|epoch	%avg_sse	%cnt_err	%epoch_time_tot	%epoch_time_usr
_D:	0	0	0.0186019	4856	3.94	6.73
_D:	0	1	0.014003	4856	3.68	5.89
_D:	0	2	0.0136249	4856	3.85	6.39
_D:	0	3	0.0130229	4856	4.03	6.84
_D:	0	4	0.012891	4856	3.97	6.76
_D:	0	5	0.0126749	4856	3.93	6.57
_D:	0	6	0.0125248	4856	3.97	6.74
_D:	0	7	0.0121635	4856	3.52	5.48
_D:	0	8	0.0123416	4856	4.23	7.57
_D:	0	9	0.0122699	4856	3.67	5.94
_D:	0	10	0.0122479	4856	3.63	5.85
_D:	0	11	0.0121862	4856	7.32	15.7
_D:	0	12	0.0121689	4856	5.73	11.51
_D:	0	13	0.0121465	4856	8.47	18.76
_D:	0	14	0.0121103	4856	5.62	11.04
_D:	0	15	0.0118143	4856	5.84	11.87
_D:	0	16	0.0120244	4856	5.38	10.51
_D:	0	17	0.0120244	4856	4.57	8.43
_D:	0	18	0.0120345	4856	4.6	8.59
_D:	0	19	0.0118308	4856	4.17	7.26
_D:	0	20	0.0117999	4856	7.78	16.47
_D:	0	21	0.0117289	4856	6.03	12.25
_D:	0	22	0.0116803	4856	6.11	12.49
_D:	0	23	0.0115447	4856	5.74	11.45
_D:	0	24	0.0116593	4856	4.51	8.18
_D:	0	25	0.0115428	4856	5.6	11.11
_D:	0	26	0.0115358	4856	6.52	13.56
_D:	0	27	0.0114041	4856	6.29	12.94
_D:	0	28	0.011506	4856	4.44	8
_D:	0	29	0.0115749	4856	5.59	11.14
_D:	0	30	0.0114328	4856	8.04	17.57
_D:	0	31	0.0115353	4856	7.32	15.72
_D:	0	32	0.0114111	4856	4.92	9.31
_D:	0	33	0.0113171	4856	5.67	11.35
_D:	0	34	0.0113063	4856	6.79	14.08
_D:	0	35	0.0110988	4856	7.17	15.2
_D:	0	36	0.0112669	4856	5.81	11.67
_D:	0	37	0.011464	4856	6.61	13.77
_D:	0	38	0.0112681	4856	7.02	14.86
_D:	0	39	0.0115093	4856	5.74	11.63
_D:	0	40	0.0113727	4856	4.92	9.35
_D:	0	41	0.0111176	4856	4.82	9.06
_D:	0	42	0.0110407	4856	5.89	12.01
_D:	0	43	0.0112922	4856	6.72	13.91
_D:	0	44	0.0111157	4856	6.64	13.89
_D:	0	45	0.0112529	4856	6.53	13.63
_D:	0	46	0.0111528	4856	4.12	7.15
_D:	0	47	0.0112171	4856	4.72	8.63
_D:	0	48	0.011126	4856	4.86	9.31
_D:	0	49	0.0110327	4856	5.86	11.78
_D:	1	0	0.0188603	4856	7.47	15.9
_D:	1	1	0.0142511	4856	5.35	10.52
_D:	1	2	0.0133399	4856	5.69	11.48
_D:	1	3	0.0126632	4856	6.01	11.99
_D:	1	4	0.0127677	4856	5	9.59
_D:	1	5	0.0126747	4856	6.91	14.61
_D:	1	6	0.0126009	4856	7.74	16.64
_D:	1	7	0.0122559	4856	7.87	17.12
_D:	1	8	0.0121167	4856	7.56	16.14
_D:	1	9	0.012427	4856	8.77	19.58
_D:	1	10	0.0120175	4856	8.31	18.19
_D:	1	11	0.011996	4856	8.6	18.78
_D:	1	12	0.0120201	4856	6.09	12.41
_D:	1	13	0.0121598	4856	6.65	13.94
_D:	1	14	0.0120903	4856	7.77	16.81
_D:	1	15	0.0121124	4856	8.23	18.18
